,year,name,percent,sex
120209,2000,Pedro,0.000814,boy
120210,2000,Andy,0.000812,boy
120211,2000,Chance,0.000811,boy
120212,2000,Abraham,0.000804,boy
120213,2000,Calvin,0.000804,boy
120214,2000,Trey,0.000792,boy
120215,2000,Cade,0.000789,boy
120216,2000,Donald,0.000772,boy
120217,2000,Derrick,0.000765,boy
120218,2000,Payton,0.000758,boy
120219,2000,Darius,0.00075,boy
120220,2000,Enrique,0.000735,boy
120221,2000,Keith,0.00073,boy
120222,2000,Raul,0.000727,boy
120223,2000,Jaylen,0.000726,boy
120224,2000,Troy,0.000725,boy
120225,2000,Jonathon,0.000717,boy
120226,2000,Cory,0.000716,boy
120227,2000,Marc,0.000711,boy
120228,2000,Skyler,0.000705,boy
120229,2000,Rafael,0.000705,boy
120230,2000,Griffin,0.000704,boy
120231,2000,Trent,0.000703,boy
120232,2000,Colby,0.000702,boy
120233,2000,Johnny,0.000698,boy
120234,2000,Eli,0.000696,boy
120235,2000,Chad,0.000696,boy
120236,2000,Armando,0.000691,boy
120237,2000,Kobe,0.000687,boy
120238,2000,Caden,0.000674,boy
120239,2000,Cooper,0.000674,boy
120240,2000,Marcos,0.000674,boy
120241,2000,Elias,0.000671,boy
120242,2000,Brenden,0.000668,boy
120243,2000,Israel,0.000663,boy
120244,2000,Avery,0.000657,boy
120245,2000,Zane,0.000656,boy
120246,2000,Dante,0.000648,boy
120247,2000,Josue,0.000648,boy
120248,2000,Zackary,0.000647,boy
120249,2000,Mathew,0.000644,boy
120250,2000,Allen,0.000643,boy
120251,2000,Dennis,0.000641,boy
120252,2000,Leonardo,0.000638,boy
120253,2000,Ashton,0.00063,boy
120254,2000,Philip,0.000628,boy
120255,2000,Julio,0.000626,boy
120256,2000,Miles,0.000625,boy
120257,2000,Damien,0.000624,boy
120258,2000,Ty,0.000621,boy
120259,2000,Gustavo,0.000619,boy
120260,2000,Drake,0.000609,boy
120261,2000,Jaime,0.000605,boy
120262,2000,Simon,0.000598,boy
120263,2000,Jerry,0.000596,boy
120264,2000,Curtis,0.000595,boy
120265,2000,Kameron,0.000586,boy
120266,2000,Lance,0.000585,boy
120267,2000,Brock,0.000585,boy
120268,2000,Bryson,0.000578,boy
120269,2000,Alberto,0.000574,boy
120270,2000,Dominick,0.000571,boy
120271,2000,Jimmy,0.00057,boy
120272,2000,Kaden,0.000569,boy
120273,2000,Douglas,0.000563,boy
120274,2000,Gary,0.00056,boy
120275,2000,Brennan,0.000555,boy
120276,2000,Zachery,0.000551,boy
120277,2000,Randy,0.000544,boy
120278,2000,Louis,0.000543,boy
120279,2000,Larry,0.000536,boy
120280,2000,Nickolas,0.000522,boy
120281,2000,Tony,0.00052,boy
120282,2000,Albert,0.000518,boy
120283,2000,Fabian,0.000518,boy
120284,2000,Keegan,0.000518,boy
120285,2000,Saul,0.000507,boy
120286,2000,Danny,0.000506,boy
120287,2000,Tucker,0.000502,boy
120288,2000,Damon,0.0005,boy
120289,2000,Myles,0.0005,boy
120290,2000,Arturo,0.000497,boy
120291,2000,Corbin,0.000496,boy
120292,2000,Deandre,0.000495,boy
120293,2000,Kristopher,0.000492,boy
120294,2000,Ricky,0.000491,boy
120295,2000,Lane,0.000487,boy
120296,2000,Pablo,0.000483,boy
120297,2000,Darren,0.000482,boy
120298,2000,Zion,0.000482,boy
120299,2000,Jarrett,0.000481,boy
120300,2000,Alfredo,0.000479,boy
120301,2000,Micheal,0.000476,boy
120302,2000,Angelo,0.000475,boy
120303,2000,Carl,0.000473,boy
120304,2000,Oliver,0.000469,boy
120305,2000,Kyler,0.000462,boy
120306,2000,Tommy,0.000459,boy
120307,2000,Walter,0.000454,boy
120308,2000,Dallas,0.000452,boy
120309,2000,Jace,0.000449,boy
120310,2000,Quinn,0.000449,boy
120311,2000,Theodore,0.000448,boy
120312,2000,Grayson,0.000445,boy
120313,2000,Lorenzo,0.000442,boy
120314,2000,Joe,0.00044,boy
120315,2000,Arthur,0.000438,boy
120316,2000,Bryant,0.000433,boy
120317,2000,Brent,0.000431,boy
120318,2000,Roman,0.000428,boy
120319,2000,Russell,0.000428,boy
120320,2000,Ramon,0.000427,boy
120321,2000,Moises,0.000426,boy
120322,2000,Lawrence,0.000425,boy
120323,2000,Aiden,0.000422,boy
120324,2000,Quentin,0.000418,boy
120325,2000,Tyrese,0.000416,boy
120326,2000,Jay,0.000415,boy
120327,2000,Tristen,0.000414,boy
120328,2000,Emanuel,0.000409,boy
120329,2000,Salvador,0.000409,boy
120330,2000,Terry,0.000406,boy
120331,2000,Jeffery,0.000401,boy
120332,2000,Morgan,0.000401,boy
120333,2000,Esteban,0.000394,boy
120334,2000,Tyson,0.000392,boy
120335,2000,Braxton,0.00039,boy
120336,2000,Branden,0.000388,boy
120337,2000,Brody,0.000387,boy
120338,2000,Craig,0.000387,boy
120339,2000,Marvin,0.000386,boy
120340,2000,Ismael,0.000385,boy
120341,2000,Rodney,0.000383,boy
120342,2000,Isiah,0.000382,boy
120343,2000,Maurice,0.000381,boy
120344,2000,Marshall,0.000381,boy
120345,2000,Ernesto,0.00038,boy
120346,2000,Emilio,0.000379,boy
120347,2000,Brendon,0.000377,boy
120348,2000,Kody,0.000375,boy
120349,2000,Eddie,0.000374,boy
120350,2000,Malachi,0.000367,boy
120351,2000,Abel,0.000366,boy
120352,2000,Keaton,0.000364,boy
120353,2000,Jon,0.000361,boy
120354,2000,Shaun,0.00036,boy
120355,2000,Skylar,0.000359,boy
120356,2000,Nikolas,0.000354,boy
120357,2000,Ezekiel,0.000353,boy
120358,2000,Santiago,0.000352,boy
120359,2000,Kendall,0.000352,boy
120360,2000,Axel,0.000351,boy
120361,2000,Camden,0.000351,boy
120362,2000,Trevon,0.000351,boy
120363,2000,Bobby,0.00035,boy
120364,2000,Conor,0.000348,boy
120365,2000,Jamal,0.000347,boy
120366,2000,Lukas,0.000347,boy
120367,2000,Malcolm,0.000343,boy
120368,2000,Zackery,0.00034,boy
120369,2000,Jayson,0.00034,boy
120370,2000,Javon,0.000338,boy
120371,2000,Reginald,0.000336,boy
120372,2000,Zachariah,0.000335,boy
120373,2000,Desmond,0.000335,boy
120374,2000,Roger,0.000335,boy
120375,2000,Felix,0.000334,boy
120376,2000,Dean,0.000333,boy
120377,2000,Johnathon,0.000333,boy
120378,2000,Quinton,0.000329,boy
120379,2000,Ali,0.000327,boy
120380,2000,Davis,0.000327,boy
120381,2000,Demetrius,0.000326,boy
120382,2000,Gerald,0.000326,boy
120383,2000,Rodrigo,0.000325,boy
120384,2000,Billy,0.00032,boy
120385,2000,Rene,0.000317,boy
120386,2000,Reece,0.000316,boy
120387,2000,Justice,0.000315,boy
120388,2000,Kelvin,0.000315,boy
120389,2000,Leo,0.000315,boy
120390,2000,Maximilian,0.000314,boy
120391,2000,Guillermo,0.000312,boy
120392,2000,Kevon,0.000311,boy
120393,2000,Steve,0.000311,boy
120394,2000,Chris,0.00031,boy
120395,2000,Frederick,0.00031,boy
120396,2000,Clay,0.000307,boy
120397,2000,Weston,0.000307,boy
120398,2000,Dorian,0.000306,boy
120399,2000,Hugo,0.000305,boy
120400,2000,Orlando,0.000304,boy
120401,2000,Roy,0.000304,boy
120402,2000,Terrance,0.000301,boy
120403,2000,Kai,0.000297,boy
120404,2000,Khalil,0.000297,boy
120405,2000,Graham,0.000296,boy
120406,2000,Noel,0.000295,boy
120407,2000,Nathanael,0.000292,boy
120408,2000,Terrell,0.000292,boy
120409,2000,Willie,0.000292,boy
120410,2000,Camron,0.000291,boy
120411,2000,Tyrone,0.000291,boy
120412,2000,Mauricio,0.00029,boy
120413,2000,Amir,0.000289,boy
120414,2000,Darian,0.000287,boy
120415,2000,Jarod,0.000287,boy
120416,2000,Nelson,0.000286,boy
120417,2000,Kade,0.000284,boy
120418,2000,Reese,0.000283,boy
120419,2000,Garret,0.000283,boy
120420,2000,Kristian,0.000283,boy
120421,2000,Marquis,0.000281,boy
120422,2000,Rodolfo,0.000281,boy
120423,2000,Felipe,0.00028,boy
120424,2000,Dane,0.000279,boy
120425,2000,Todd,0.000279,boy
120426,2000,Elian,0.000277,boy
120427,2000,Walker,0.000277,boy
120428,2000,Mateo,0.000274,boy
120429,2000,Jaylon,0.000272,boy
120430,2000,Kenny,0.000271,boy
120431,2000,Bruce,0.00027,boy
120432,2000,Ross,0.00027,boy
120433,2000,Damion,0.000269,boy
120434,2000,Ezra,0.000269,boy
120435,2000,Francis,0.000268,boy
120436,2000,Tate,0.000262,boy
120437,2000,Byron,0.000261,boy
120438,2000,Reid,0.000261,boy
120439,2000,Warren,0.000261,boy
120440,2000,Bennett,0.00026,boy
120441,2000,Randall,0.000259,boy
120442,2000,Triston,0.000258,boy
120443,2000,Jermaine,0.000258,boy
120444,2000,Jaquan,0.000257,boy
120445,2000,Harley,0.000256,boy
120446,2000,Jessie,0.000256,boy
120447,2000,Duncan,0.000254,boy
120448,2000,Franklin,0.000254,boy
120449,2000,Reed,0.000253,boy
120450,2000,Blaine,0.000253,boy
120451,2000,Braeden,0.000253,boy
120452,2000,Charlie,0.000253,boy
120453,2000,Holden,0.000253,boy
120454,2000,Ahmad,0.000252,boy
120455,2000,Issac,0.000249,boy
120456,2000,Kendrick,0.000248,boy
120457,2000,Sawyer,0.000247,boy
120458,2000,Melvin,0.000246,boy
120459,2000,Solomon,0.000246,boy
120460,2000,Jaylin,0.000246,boy
120461,2000,Moses,0.000246,boy
120462,2000,Sam,0.000246,boy
120463,2000,Cedric,0.000245,boy
120464,2000,Mohammad,0.000244,boy
120465,2000,Beau,0.000243,boy
120466,2000,Jordon,0.000243,boy
120467,2000,Alvin,0.000241,boy
120468,2000,Elliot,0.000241,boy
120469,2000,Darrell,0.000239,boy
120470,2000,Lee,0.000239,boy
120471,2000,Jarred,0.000239,boy
120472,2000,Mohamed,0.000239,boy
120473,2000,Wade,0.000238,boy
120474,2000,Davion,0.000237,boy
120475,2000,Tomas,0.000237,boy
120476,2000,Jaxon,0.000236,boy
120477,2000,Uriel,0.000236,boy
120478,2000,Deven,0.000235,boy
120479,2000,Gilberto,0.000234,boy
120480,2000,Rogelio,0.000234,boy
120481,2000,Ronnie,0.000234,boy
120482,2000,Julius,0.000232,boy
120483,2000,Allan,0.000232,boy
120484,2000,Brayan,0.00023,boy
120485,2000,Deshawn,0.00023,boy
120486,2000,Terrence,0.00023,boy
120487,2000,Joey,0.00023,boy
120488,2000,Noe,0.000229,boy
120489,2000,Alfonso,0.000228,boy
120490,2000,Ahmed,0.000227,boy
120491,2000,Tyree,0.000223,boy
120492,2000,Tyrell,0.000223,boy
120493,2000,Devan,0.000221,boy
120494,2000,Jerome,0.000221,boy
120495,2000,Neil,0.000221,boy
120496,2000,Ramiro,0.00022,boy
120497,2000,Pierce,0.00022,boy
120498,2000,Davon,0.000219,boy
120499,2000,Devonte,0.000218,boy
120500,2000,Jamie,0.000218,boy
120501,2000,Leon,0.000218,boy
120502,2000,Adan,0.000218,boy
120503,2000,Eugene,0.000217,boy
120504,2000,Marlon,0.000217,boy
120505,2000,Stanley,0.000217,boy
120506,2000,Quincy,0.000216,boy
120507,2000,Leonard,0.000216,boy
120508,2000,Wayne,0.000214,boy
120509,2000,Will,0.000214,boy
120510,2000,Alvaro,0.000211,boy
120511,2000,Ernest,0.00021,boy
120512,2000,Harry,0.00021,boy
120513,2000,Addison,0.000209,boy
120514,2000,Jadon,0.000208,boy
120515,2000,Ray,0.000208,boy
120516,2000,Alonzo,0.000207,boy
120517,2000,Rolando,0.000206,boy
120518,2000,Keyshawn,0.000206,boy
120519,2000,Mohammed,0.000205,boy
120520,2000,Tristin,0.000205,boy
120521,2000,Donte,0.000203,boy
120522,2000,Jonas,0.000203,boy
120523,2000,Dominique,0.000202,boy
120524,2000,Leonel,0.000202,boy
120525,2000,Wilson,0.000202,boy
120526,2000,Gilbert,0.000201,boy
120527,2000,Coby,0.000199,boy
120528,2000,Dangelo,0.000199,boy
120529,2000,Kieran,0.000199,boy
120530,2000,Colten,0.000197,boy
120531,2000,Keenan,0.000197,boy
120532,2000,Koby,0.000197,boy
120533,2000,Jarrod,0.000197,boy
120534,2000,Dale,0.000195,boy
120535,2000,Harold,0.000195,boy
120536,2000,Elliott,0.000194,boy
120537,2000,Toby,0.000194,boy
120538,2000,Dwayne,0.000192,boy
120539,2000,Osvaldo,0.000191,boy
120540,2000,Cyrus,0.00019,boy
120541,2000,Kolby,0.00019,boy
120542,2000,Sage,0.000188,boy
120543,2000,Coleman,0.000186,boy
120544,2000,Declan,0.000186,boy
120545,2000,Adolfo,0.000185,boy
120546,2000,Brennen,0.000184,boy
120547,2000,Trace,0.000184,boy
120548,2000,Ariel,0.000183,boy
120549,2000,Darryl,0.000183,boy
120550,2000,Shamar,0.000183,boy
120551,2000,Efrain,0.000183,boy
120552,2000,Orion,0.000183,boy
120553,2000,Keshawn,0.000182,boy
120554,2000,Rudy,0.000182,boy
120555,2000,Ulises,0.000182,boy
120556,2000,Darien,0.000181,boy
120557,2000,Braydon,0.00018,boy
120558,2000,Vicente,0.00018,boy
120559,2000,Ben,0.000179,boy
120560,2000,Nasir,0.000179,boy
120561,2000,Dayton,0.000178,boy
120562,2000,Joaquin,0.000176,boy
120563,2000,Karl,0.000175,boy
120564,2000,Dandre,0.000175,boy
120565,2000,Isaias,0.000175,boy
120566,2000,Rylan,0.000174,boy
120567,2000,Sterling,0.000174,boy
120568,2000,Cullen,0.000174,boy
120569,2000,Quintin,0.000173,boy
120570,2000,Stefan,0.000173,boy
120571,2000,Brice,0.000171,boy
120572,2000,Lewis,0.00017,boy
120573,2000,Gunnar,0.000169,boy
120574,2000,Humberto,0.000169,boy
120575,2000,Nigel,0.000167,boy
120576,2000,Alfred,0.000167,boy
120577,2000,Agustin,0.000165,boy
120578,2000,Asher,0.000165,boy
120579,2000,Daquan,0.000165,boy
120580,2000,Easton,0.000165,boy
120581,2000,Salvatore,0.000165,boy
120582,2000,Jaron,0.000164,boy
120583,2000,Nathanial,0.000164,boy
120584,2000,Everett,0.000163,boy
120585,2000,Ralph,0.000163,boy
120586,2000,Hudson,0.000162,boy
120587,2000,Marquise,0.000161,boy
120588,2000,Tobias,0.000161,boy
120589,2000,Glenn,0.000161,boy
120590,2000,Antoine,0.00016,boy
120591,2000,Jasper,0.00016,boy
120592,2000,Elvis,0.00016,boy
120593,2000,Sidney,0.00016,boy
120594,2000,Kane,0.000159,boy
120595,2000,Ezequiel,0.000159,boy
120596,2000,Tylor,0.000158,boy
120597,2000,Aron,0.000158,boy
120598,2000,Devyn,0.000158,boy
120599,2000,Mike,0.000158,boy
120600,2000,Dashawn,0.000157,boy
120601,2000,Silas,0.000157,boy
120602,2000,Jaiden,0.000156,boy
120603,2000,Jayce,0.000154,boy
120604,2000,Deonte,0.000153,boy
120605,2000,Cristopher,0.000152,boy
120606,2000,Romeo,0.000152,boy
120607,2000,Deon,0.000152,boy
120608,2000,Freddy,0.000151,boy
120609,2000,Kurt,0.000151,boy
120610,2000,Kolton,0.000151,boy
120611,2000,River,0.000151,boy
120612,2000,August,0.000149,boy
120613,2000,Roderick,0.000149,boy
120614,2000,Clarence,0.000148,boy
120615,2000,Derick,0.000148,boy
120616,2000,Jamar,0.000146,boy
120617,2000,Raphael,0.000146,boy
120618,2000,Rohan,0.000146,boy
120619,2000,Kareem,0.000145,boy
120620,2000,Muhammad,0.000145,boy
120621,2000,Demarcus,0.000145,boy
120622,2000,Sheldon,0.000144,boy
120623,2000,Markus,0.000144,boy
120624,2000,Cayden,0.000143,boy
120625,2000,Luca,0.000142,boy
120626,2000,Tre,0.000141,boy
120627,2000,Jean,0.00014,boy
120628,2000,Jamison,0.000139,boy
120629,2000,Rory,0.000139,boy
120630,2000,Brad,0.000139,boy
120631,2000,Clinton,0.000139,boy
120632,2000,Jaylan,0.000139,boy
120633,2000,Titus,0.000139,boy
120634,2000,Jevon,0.000138,boy
120635,2000,Julien,0.000138,boy
120636,2000,Emiliano,0.000137,boy
120637,2000,Alonso,0.000137,boy
120638,2000,Lamar,0.000136,boy
120639,2000,Cordell,0.000136,boy
120640,2000,Gordon,0.000136,boy
120641,2000,Ignacio,0.000136,boy
120642,2000,Jett,0.000135,boy
120643,2000,Keon,0.000135,boy
120644,2000,Baby,0.000135,boy
120645,2000,Cruz,0.000135,boy
120646,2000,Rashad,0.000135,boy
120647,2000,Tariq,0.000135,boy
120648,2000,Armani,0.000134,boy
120649,2000,Deangelo,0.000134,boy
120650,2000,Milton,0.000134,boy
120651,2000,Geoffrey,0.000133,boy
120652,2000,Elisha,0.000133,boy
120653,2000,Bernard,0.000132,boy
120654,2000,Darion,0.000131,boy
120655,2000,Darnell,0.000131,boy
120656,2000,Asa,0.000131,boy
120657,2000,Bret,0.000131,boy
120658,2000,Izaiah,0.000131,boy
120659,2000,Moshe,0.000131,boy
120660,2000,Irvin,0.00013,boy
120661,2000,Jairo,0.00013,boy
120662,2000,Aldo,0.000129,boy
120663,2000,Howard,0.000129,boy
120664,2000,Ayden,0.000129,boy
120665,2000,Garrison,0.000129,boy
120666,2000,Stuart,0.000129,boy
120667,2000,Zechariah,0.000129,boy
120668,2000,Kellen,0.000128,boy
120669,2000,Travon,0.000128,boy
120670,2000,Norman,0.000128,boy
120671,2000,Shemar,0.000128,boy
120672,2000,Dillan,0.000127,boy
120673,2000,Junior,0.000127,boy
120674,2000,Rhett,0.000127,boy
120675,2000,Barry,0.000126,boy
120676,2000,Darrius,0.000126,boy
120677,2000,Kamron,0.000126,boy
120678,2000,Jude,0.000126,boy
120679,2000,Rigoberto,0.000126,boy
120680,2000,Amari,0.000125,boy
120681,2000,Jovan,0.000125,boy
120682,2000,Octavio,0.000124,boy
120683,2000,Perry,0.000124,boy
120684,2000,Misael,0.000124,boy
120685,2000,Hassan,0.000123,boy
120686,2000,Jaren,0.000123,boy
120687,2000,Kole,0.000123,boy
120688,2000,Latrell,0.000123,boy
120689,2000,Roland,0.000123,boy
120690,2000,Quinten,0.000123,boy
120691,2000,Ibrahim,0.000122,boy
120692,2000,Justus,0.000122,boy
120693,2000,German,0.000122,boy
120694,2000,Gonzalo,0.000122,boy
120695,2000,Forrest,0.000121,boy
120696,2000,Mackenzie,0.000121,boy
120697,2000,Nehemiah,0.000121,boy
120698,2000,Anton,0.00012,boy
120699,2000,Chaz,0.00012,boy
120700,2000,Talon,0.00012,boy
120701,2000,Maximillian,0.00012,boy
120702,2000,Austen,0.000119,boy
120703,2000,Brooks,0.000119,boy
120704,2000,Greyson,0.000119,boy
120705,2000,Guadalupe,0.000119,boy
120706,2000,Winston,0.000119,boy
120707,2000,Antwan,0.000118,boy
120708,2000,Conrad,0.000118,boy
120709,2000,Dion,0.000118,boy
120710,2000,Lincoln,0.000118,boy
120711,2000,Earl,0.000117,boy
120712,2000,Jaydon,0.000117,boy
120713,2000,Landen,0.000117,boy
120714,2000,Leroy,0.000117,boy
120715,2000,Gunner,0.000117,boy
120716,2000,Jefferson,0.000117,boy
120717,2000,Brenton,0.000116,boy
120718,2000,Kurtis,0.000116,boy
120719,2000,Stephan,0.000116,boy
120720,2000,Stone,0.000116,boy
120721,2000,Fredrick,0.000116,boy
120722,2000,Shannon,0.000116,boy
120723,2000,Shayne,0.000115,boy
120724,2000,Karson,0.000114,boy
120725,2000,Stephon,0.000114,boy
120726,2000,Nestor,0.000113,boy
120727,2000,Frankie,0.000113,boy
120728,2000,Gianni,0.000113,boy
120729,2000,Keagan,0.000113,boy
120730,2000,Tristian,0.000113,boy
120731,2000,Dimitri,0.000112,boy
120732,2000,Kory,0.000112,boy
120733,2000,Zakary,0.000112,boy
120734,2000,Donavan,0.000112,boy
120735,2000,Draven,0.000112,boy
120736,2000,Jameson,0.000112,boy
120737,2000,Clifton,0.000111,boy
120738,2000,Daryl,0.000111,boy
120739,2000,Emmett,0.000111,boy
120740,2000,Cortez,0.00011,boy
